部門名,米,耕種農業（米を除く）,畜産,農業サービス,林業,漁業,金属鉱物,石炭・原油・天然ガス,非金属鉱物,食肉・畜産食料品,水産食料品,精穀・製粉,その他の食料品,飲料,飼料・有機質肥料（別掲を除く。）,たばこ,繊維工業製品,衣服・その他の繊維既製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学肥料,無機化学工業製品,石油化学基礎製品,有機化学工業製品（石油化学基礎製品を除く。）,合成樹脂・化学繊維,化学最終製品,石油製品,石炭製品,プラスチック製品,ゴム製品,なめし革・毛皮・同製品,ガラス・ガラス製品,セメント・セメント製品,陶磁器,その他の窯業・土石製品,銑鉄・粗鋼,鋼材,鋳鍛造品,その他の鉄鋼製品,非鉄金属製錬・精製,非鉄金属加工製品,建設・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機器,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信機械・同関連機器,電子計算機・同附属装置,自動車（二輪自動車を含む）,自動車部品・同附属品,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,公共事業,その他の土木建設,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃貸,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,インターネット附随サービス,映像・音声・文字情報制作,公務,教育,研究,医療,保健衛生,社会保険・社会福祉,介護,その他の非営利団体サービス,物品賃貸サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明,行和,感応度係数
米,1.004468305,0.002349063,0.00860467,0.003697514,0.001156828,2.18229E-05,0,0,1.28699E-06,0.002476433,7.80999E-05,0.394422202,0.005098265,0.000525918,0.005470449,0,6.19923E-06,8.77538E-06,0.00033938,1.22162E-05,9.038E-06,1.14672E-06,6.35228E-07,3.71895E-06,2.03963E-06,2.43514E-07,2.84311E-06,2.16202E-06,2.12761E-05,6.36087E-08,5.27224E-07,6.67431E-07,6.85908E-05,6.02197E-06,2.88526E-06,8.07025E-07,4.3141E-06,3.06927E-06,4.43405E-07,7.36717E-07,1.78088E-06,3.21156E-07,5.11763E-07,1.13929E-06,6.98052E-07,5.23092E-07,7.7302E-07,2.02155E-06,1.51011E-06,1.26983E-06,1.75169E-06,1.3104E-06,1.11342E-06,1.85841E-06,9.95023E-07,1.60992E-06,1.51012E-06,9.91256E-07,9.8466E-07,5.88285E-07,3.59343E-07,0.002288844,5.88003E-07,5.01924E-06,6.03661E-06,2.79059E-06,2.42144E-06,7.07568E-07,8.35787E-07,1.44817E-06,8.44337E-07,6.75601E-07,9.26296E-07,7.6378E-07,6.79714E-07,5.46227E-07,3.98272E-07,6.79768E-07,4.9627E-07,1.16919E-06,1.135E-06,1.47187E-06,8.04161E-07,9.94861E-07,5.70998E-06,3.0933E-07,1.4262E-06,2.49462E-06,2.11488E-06,1.82705E-06,2.72806E-06,3.79866E-06,8.39684E-06,1.56409E-05,1.79607E-05,8.59834E-07,0.000193815,0.00018929,4.07178E-05,2.79668E-06,1.93315E-06,8.26268E-07,2.3599E-06,0.000746102,0.000989158,2.03459E-06,1.32405E-05,7.91376E-05,4.38302E-05,2.23244E-06,1.433583295,1.063544619
耕種農業（米を除く）,0.000311245,1.009735892,0.02927563,0.001127899,2.27797E-05,0.000319846,0,0,1.36647E-05,0.008633763,0.000855414,0.002893407,0.011487084,0.008335028,0.1026804,0,0.002422605,0.000455289,1.39401E-05,6.36841E-06,9.04167E-05,9.36916E-06,5.65373E-06,1.76063E-05,1.03183E-05,1.64253E-06,8.71312E-06,8.10838E-06,0.000617481,4.09285E-07,4.40511E-06,3.9024E-06,0.029041849,8.78407E-06,7.13337E-06,6.59276E-06,7.58553E-06,3.12866E-05,2.62137E-06,2.16423E-06,3.78954E-06,1.98942E-06,2.95044E-06,4.12776E-05,5.35321E-06,3.23181E-06,7.36577E-06,1.06355E-05,1.10871E-05,1.08027E-05,8.12519E-06,1.14022E-05,1.1281E-05,7.44386E-06,4.9942E-06,1.50701E-05,8.64084E-06,1.40308E-05,1.33799E-05,1.44037E-05,4.91281E-06,0.000746269,7.79548E-06,0.000218471,4.98377E-06,0.000524821,0.000333457,3.50604E-06,4.10358E-06,8.57551E-06,1.08477E-05,4.78125E-06,6.29233E-05,3.76692E-06,4.17436E-06,2.94303E-06,2.05088E-06,3.28896E-06,5.34788E-06,2.15338E-05,8.4538E-06,1.3671E-05,5.08724E-06,5.78702E-06,5.52971E-05,1.99531E-06,5.5014E-06,2.57225E-05,7.21848E-06,8.85279E-06,1.66159E-05,1.50821E-05,3.4907E-05,8.31934E-05,0.000153353,5.64998E-06,0.001442694,0.001193695,0.00043863,2.7703E-05,1.42973E-05,3.01866E-05,5.30188E-06,0.004917028,0.006277602,2.59694E-05,0.000424196,0.001994888,2.79878E-05,1.45896E-05,1.227943265,0.910984702
畜産,0.006457041,0.008399854,1.089182988,0.015253761,2.95287E-05,3.09302E-05,0,0,3.60592E-06,0.310482726,0.001289982,0.002559354,0.011873618,0.000321972,0.003935645,0,3.72643E-05,3.58751E-05,8.84367E-06,1.35707E-05,0.00014623,1.67874E-05,1.16348E-05,0.000395602,6.26494E-05,1.12641E-05,3.22842E-05,6.03719E-05,0.000478462,2.35742E-06,3.48071E-06,2.70492E-05,0.000278669,1.57228E-05,4.23024E-05,9.85011E-06,3.17629E-05,2.45189E-05,1.0398E-05,8.80543E-06,1.43684E-05,3.5234E-06,2.16768E-05,2.41798E-05,1.37941E-05,9.78041E-06,3.306E-05,8.64378E-05,5.98954E-05,7.06403E-05,7.46601E-05,6.71384E-05,7.13164E-05,7.98386E-05,3.01829E-05,6.97642E-05,8.16904E-05,5.08415E-05,5.49679E-05,1.94325E-05,7.99655E-06,0.000392827,7.15345E-06,5.26516E-06,3.47918E-06,9.76676E-06,7.82126E-06,7.24818E-06,1.33174E-05,2.29334E-06,1.37793E-06,4.8949E-06,5.27593E-06,2.21218E-06,1.68386E-06,1.44749E-06,4.61425E-07,5.83143E-06,2.98639E-06,4.70566E-06,5.63913E-06,8.25465E-06,4.08316E-06,5.81037E-06,3.01404E-05,7.67108E-07,2.14541E-05,8.58561E-06,1.88754E-05,3.59708E-05,1.31389E-05,1.1683E-05,1.11564E-05,0.001284832,0.000130155,4.56613E-06,0.000998372,0.00100955,8.42223E-06,9.16175E-06,6.83763E-06,3.90314E-06,2.49128E-06,0.00427326,0.008894457,2.38302E-06,1.18852E-05,0.000460121,1.41106E-05,3.44318E-05,1.470336495,1.090811028
農業サービス,0.096810598,0.043846721,0.057374797,1.001178005,0.000113617,1.74267E-05,0,0,1.12219E-06,0.016370095,0.000109747,0.038134194,0.001584122,0.000423601,0.005117772,0,0.000106189,2.22434E-05,3.37966E-05,2.2575E-06,1.2466E-05,1.47123E-06,9.98489E-07,2.13948E-05,4.07414E-06,7.75322E-07,2.34023E-06,4.01979E-06,5.32173E-05,1.57799E-07,4.87762E-07,1.69642E-06,0.001263291,1.86221E-06,3.0531E-06,1.09206E-06,3.45999E-06,3.16119E-06,7.37929E-07,6.4166E-07,1.56827E-06,3.58677E-07,1.3528E-06,3.21505E-06,1.30264E-06,1.02419E-06,2.51443E-06,5.47613E-06,4.01491E-06,4.94299E-06,5.59531E-06,4.73671E-06,5.73896E-06,5.17541E-06,2.94248E-06,5.61737E-06,4.94634E-06,3.45274E-06,3.74109E-06,1.96229E-06,6.94273E-07,0.000272163,8.71916E-07,1.03598E-05,1.13078E-06,2.34612E-05,1.512E-05,1.07075E-06,1.35282E-06,9.19701E-07,8.16988E-07,8.12243E-07,3.46126E-06,8.06678E-07,5.36214E-07,4.03546E-07,1.87597E-07,3.34209E-06,6.30357E-07,1.55875E-06,9.8997E-07,1.38022E-06,9.43414E-07,9.37387E-07,4.83169E-06,4.00893E-07,6.05484E-06,1.12914E-05,3.5867E-06,8.29085E-06,5.32811E-06,1.7825E-06,0.000444446,7.05072E-05,1.50709E-05,7.13712E-07,0.000131313,0.000120598,2.33528E-05,2.22944E-06,5.95887E-06,1.65382E-06,1.39868E-06,0.000499619,0.000815508,2.35868E-06,0.000250112,0.000116992,6.23536E-06,3.11423E-06,1.265593081,0.938916292
林業,6.37606E-06,0.000312593,5.95863E-05,9.75039E-06,1.088883045,0.000132238,0,0,2.16775E-05,3.35605E-05,0.000154044,5.28121E-06,0.001342513,2.01314E-05,0.000241093,0,1.31458E-05,1.48187E-05,0.101037148,0.002573826,0.000844015,7.71428E-05,2.56373E-05,1.97576E-05,0.000282108,3.20216E-06,5.54879E-06,7.24829E-06,0.000415203,6.04335E-07,7.17757E-06,9.97662E-06,1.7492E-05,0.000997877,0.000171875,1.36931E-05,0.000375074,6.30558E-05,1.43366E-05,4.08568E-06,1.19999E-05,5.14743E-06,9.40487E-06,7.40939E-05,6.90685E-05,2.30711E-05,8.16948E-06,5.83084E-06,9.72745E-06,7.64805E-06,1.20128E-05,9.31871E-06,5.31416E-06,5.82673E-06,1.0839E-05,8.02782E-06,5.91805E-06,3.95711E-06,7.75083E-06,1.03391E-05,2.42938E-05,0.001096155,4.32337E-06,0.001108237,0.00033204,7.30445E-05,0.000106815,4.96515E-05,2.20747E-05,3.05391E-05,7.48283E-06,2.2446E-05,1.36646E-05,7.80982E-06,1.10327E-05,1.34522E-05,1.85441E-05,1.53669E-05,3.42525E-06,1.45179E-05,1.23588E-05,1.27485E-05,8.30325E-06,2.67647E-05,5.78004E-05,2.59725E-06,9.55166E-06,1.48224E-05,7.15431E-06,1.27363E-05,2.54844E-05,1.50124E-05,9.11117E-06,1.19993E-05,2.18443E-05,1.71514E-05,0.00020073,0.000199247,1.35401E-05,6.46925E-06,8.83591E-06,5.12858E-06,1.3427E-05,0.001463606,0.001754791,1.19405E-05,1.9427E-05,0.000173098,5.16921E-05,8.41317E-06,1.205690107,0.894475563
漁業,8.19203E-07,1.01478E-06,2.86043E-05,1.84292E-06,1.81016E-06,1.006618972,0,0,3.20618E-07,2.0034E-05,0.073900324,3.66313E-07,0.001173803,7.32811E-06,0.000671835,0,1.0726E-07,1.12042E-06,3.3289E-07,5.60655E-07,1.24573E-06,1.7481E-07,1.32195E-07,1.02883E-07,2.13565E-07,3.12021E-08,5.98661E-07,3.52977E-07,1.75638E-05,1.05887E-08,1.26821E-07,9.22585E-08,1.68292E-07,7.54119E-07,3.55566E-07,1.6179E-07,5.26633E-07,5.87836E-07,6.33841E-08,1.0265E-07,2.70522E-07,7.05913E-08,6.12938E-08,1.25286E-07,8.22652E-08,8.01875E-08,1.03582E-07,2.28096E-07,1.92367E-07,1.34351E-07,1.99344E-07,1.53135E-07,1.09996E-07,2.06439E-07,1.48548E-07,1.89763E-07,1.59563E-07,1.09151E-07,1.05316E-07,9.08167E-08,4.61179E-08,0.000334415,1.47546E-07,2.02461E-07,3.63561E-07,2.91499E-07,2.71912E-07,7.99319E-08,8.19875E-08,1.82018E-07,1.37213E-07,2.19615E-07,2.12178E-07,1.48642E-07,2.87429E-07,1.76339E-07,7.22142E-08,1.84281E-07,1.8934E-07,5.46193E-07,4.51043E-07,1.13868E-06,2.56904E-07,1.78266E-07,5.75294E-06,9.10638E-08,2.5646E-07,9.18361E-07,4.95388E-07,3.33446E-07,8.71931E-07,3.17195E-06,3.66974E-07,1.01476E-06,4.45051E-05,2.05581E-07,0.000440603,0.000438648,7.70866E-07,5.20402E-07,6.71545E-07,1.6907E-07,4.74818E-07,0.001746222,0.002873286,4.81178E-07,7.14763E-06,0.000172697,6.43755E-06,1.87969E-06,1.088543654,0.807567129
金属鉱物,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.741878496
石炭・原油・天然ガス,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.741878496
非金属鉱物,9.03257E-05,0.000118763,3.64999E-05,5.43851E-05,0.000214639,1.35126E-05,0,0,1.000392824,2.96626E-05,2.0238E-05,4.1396E-05,2.29943E-05,5.76778E-05,3.76578E-05,0,8.16822E-05,3.09222E-05,4.58677E-05,0.000106938,0.002691411,0.000206291,7.86822E-05,0.004948045,0.002927849,3.86392E-05,0.000149888,5.43268E-05,0.000478825,-0.000717876,0.047783276,5.19829E-05,0.000343617,1.81996E-05,0.03862398,0.057835416,0.030331997,0.043856963,-0.000705346,0.000458237,0.000895586,5.88569E-05,0.000600188,7.65327E-05,0.000152696,8.19629E-05,0.000113803,4.76836E-05,0.00019545,9.47176E-05,7.92287E-05,4.28795E-05,4.08572E-05,2.4043E-05,0.000150362,3.41953E-05,2.54848E-05,6.46374E-05,2.51453E-05,3.36059E-05,7.61226E-05,0.001415665,3.23717E-05,0.002569428,0.001419337,0.01466443,0.01218147,0.001068249,9.419E-05,0.000165879,5.70262E-05,1.95458E-05,3.65608E-05,1.93972E-05,5.25002E-05,5.89021E-05,8.17578E-05,7.71856E-05,1.1454E-05,4.3437E-05,2.52713E-05,2.08611E-05,3.12043E-05,8.24336E-05,7.33867E-05,1.13562E-05,3.28532E-05,4.44309E-05,1.62608E-05,4.55505E-05,7.44523E-05,4.99935E-05,4.52631E-05,4.36161E-05,2.12864E-05,3.6298E-05,3.25246E-05,2.41479E-05,2.83289E-05,1.84842E-05,2.60921E-05,2.83926E-05,1.87856E-05,-3.60326E-06,2.57422E-05,3.06805E-05,7.17009E-05,8.37298E-05,0.000142252,0.000176807,1.269191797,0.941586102
食肉・畜産食料品,1.02115E-05,1.24682E-05,0.000419831,2.11281E-05,2.32426E-05,3.5083E-05,0,0,2.09523E-06,1.040952432,0.000740197,4.42078E-06,0.015649697,0.00066968,0.006978556,0,2.7294E-06,4.75817E-05,5.80605E-06,4.25114E-06,0.000421296,3.05296E-05,1.12289E-05,1.03839E-06,2.41211E-06,3.65963E-07,7.81501E-06,4.14787E-06,0.001069055,9.89523E-08,1.82896E-06,1.13616E-06,1.38912E-06,3.05099E-06,2.36063E-06,1.16522E-06,5.49214E-06,7.26624E-06,3.9016E-07,4.47963E-07,1.31504E-06,4.16485E-07,3.92051E-07,8.61923E-07,6.65147E-07,6.95109E-07,7.88231E-07,1.28265E-06,1.45431E-06,9.75636E-07,1.74966E-06,1.41756E-06,1.03939E-06,1.1414E-06,1.56695E-06,1.35301E-06,1.1806E-06,7.78277E-07,8.39352E-07,1.47491E-06,5.88501E-07,0.001106888,8.93836E-07,1.49379E-06,1.94177E-06,1.45439E-06,1.29049E-06,5.07764E-07,5.8644E-07,9.98143E-07,1.01692E-06,1.22816E-06,1.1515E-06,9.00392E-07,1.38398E-06,9.08546E-07,3.58261E-07,1.20288E-06,1.19543E-06,3.59697E-06,2.89505E-06,7.84921E-06,1.86514E-06,1.41732E-06,4.05753E-05,5.75152E-07,1.39672E-06,4.20039E-06,2.69232E-06,1.77076E-06,1.25374E-05,2.54627E-05,5.58553E-06,6.76343E-06,0.000192108,2.60201E-06,0.001340038,0.001345887,5.27538E-06,2.23534E-06,4.0129E-06,1.01693E-06,2.40934E-06,0.006822957,0.015205937,2.89726E-06,1.05105E-05,0.000749507,3.38629E-05,1.24513E-05,1.094152194,0.811727984
水産食料品,1.81476E-06,2.27992E-06,6.99563E-05,4.15875E-06,5.68247E-06,0.008188617,0,0,2.78933E-07,0.000127722,1.021881316,7.9717E-07,0.003840961,2.34603E-05,0.001573537,0,9.47708E-08,1.14349E-07,6.64759E-07,1.263E-07,3.90991E-06,3.77313E-07,1.92713E-07,1.44276E-07,4.20641E-07,3.15269E-08,1.86165E-06,8.1097E-07,1.44909E-05,1.5788E-08,1.42232E-07,1.05919E-07,1.83073E-07,1.49848E-07,3.42483E-07,1.73511E-07,8.28865E-07,1.54557E-06,8.32254E-08,3.50362E-08,1.10484E-07,8.00256E-08,6.88929E-08,1.05654E-07,8.92979E-08,8.28494E-08,1.35898E-07,1.58203E-07,1.57193E-07,1.32061E-07,1.43613E-07,1.45813E-07,1.27512E-07,1.21787E-07,1.32535E-07,1.42997E-07,1.3687E-07,8.71111E-08,9.61862E-08,9.40177E-08,5.06717E-08,3.03252E-06,1.62203E-07,1.99825E-07,1.74771E-07,2.0983E-07,1.92957E-07,8.17001E-08,7.91981E-08,1.81273E-07,7.12866E-08,2.71486E-07,2.47106E-07,1.30595E-07,3.98238E-07,2.6399E-07,8.86909E-08,2.50599E-07,2.33991E-07,6.31206E-07,5.02767E-07,1.44925E-06,2.93512E-07,2.1481E-07,7.38589E-06,9.1393E-08,2.3316E-07,8.48314E-07,4.30891E-07,3.28343E-07,9.22144E-07,1.25579E-05,1.70518E-06,1.17983E-06,8.3263E-05,2.1036E-07,0.000964491,0.000894904,1.08166E-06,2.83406E-07,6.95809E-07,1.49741E-07,3.07262E-07,0.003130238,0.005741086,3.86432E-07,2.68108E-06,0.000286238,2.59553E-07,5.00305E-06,1.046896151,0.776669742
精穀・製粉,9.81438E-06,1.28004E-05,0.000733499,2.26541E-05,0.000719027,2.92612E-05,0,0,7.04084E-07,0.000266274,0.000164868,1.000056827,0.012552565,0.001276613,0.006624807,0,3.16132E-07,4.49491E-07,0.000653595,1.69213E-05,1.69842E-05,1.69459E-06,6.60608E-07,8.47052E-07,2.14411E-06,1.11604E-07,6.08676E-06,2.68964E-06,3.84743E-05,5.34769E-08,3.35264E-07,3.52345E-07,8.01778E-07,9.83877E-07,2.14662E-06,5.63067E-07,5.00953E-06,5.3223E-06,2.36584E-07,1.54454E-07,3.21018E-07,2.19266E-07,2.33283E-07,6.89309E-07,6.43101E-07,3.85292E-07,5.09874E-07,6.07184E-07,5.39862E-07,4.45514E-07,4.81751E-07,4.18661E-07,3.44379E-07,4.16241E-07,4.40699E-07,3.98309E-07,4.63354E-07,2.68999E-07,3.00547E-07,3.07912E-07,2.87898E-07,5.99198E-06,4.53885E-07,7.39397E-06,2.37775E-06,6.2465E-07,8.82845E-07,5.52114E-07,6.48024E-07,1.41664E-06,3.69881E-07,4.9255E-07,4.72757E-07,4.83209E-07,4.61415E-07,4.11881E-07,2.02963E-07,4.44359E-07,4.81132E-07,1.10074E-06,9.42709E-07,2.25793E-06,5.44866E-07,9.07918E-07,1.17974E-05,1.1918E-07,4.5137E-07,1.12472E-06,5.32753E-07,5.98985E-07,1.29517E-06,6.97809E-06,4.45419E-07,4.21015E-06,4.12165E-05,4.96261E-07,0.000459999,0.000450102,9.55104E-05,5.33734E-07,9.42077E-07,3.31473E-07,5.56038E-07,0.001775635,0.002294361,5.31042E-07,2.03793E-06,0.000172186,7.96288E-07,3.2931E-06,1.028591369,0.763089818
その他の食料品,7.90132E-05,0.000100727,0.00499804,0.000177214,0.001494447,0.000630324,0,0,3.03104E-06,0.006050869,0.007974941,4.31358E-05,1.036070104,0.006281616,0.056249682,0,8.1755E-06,3.12615E-06,0.000146919,1.01197E-05,0.001024376,8.38215E-05,2.70747E-05,6.54722E-06,8.25769E-05,1.1383E-06,0.000490701,0.000194364,0.002624494,1.57693E-06,4.55383E-06,8.40525E-06,6.8908E-06,3.48806E-06,5.24443E-05,3.02242E-06,0.000189118,0.000387896,2.30956E-06,6.16659E-07,2.26802E-06,7.74538E-07,1.14317E-06,2.01992E-06,1.6502E-06,1.71403E-06,2.97393E-06,3.55814E-06,3.83295E-06,3.45956E-06,4.56103E-06,3.86361E-06,3.26862E-06,2.86525E-06,4.7795E-06,3.42768E-06,3.50035E-06,2.23552E-06,2.45147E-06,3.71975E-06,1.52442E-06,1.60242E-05,1.58538E-06,4.30871E-06,3.568E-06,2.34293E-06,2.20786E-06,1.14517E-06,1.78837E-06,3.32577E-06,1.94118E-06,1.88753E-06,2.05513E-06,1.68966E-06,1.84178E-06,1.41649E-06,5.26232E-07,1.78314E-06,1.83055E-06,4.59549E-06,3.81251E-06,9.82419E-06,3.00312E-06,3.28878E-06,5.02071E-05,7.92546E-07,2.1956E-06,6.14879E-06,3.63368E-06,2.89894E-06,2.59094E-05,4.37478E-05,3.06151E-06,3.21969E-05,0.000311619,5.59844E-06,0.002214414,0.002185557,0.000150296,2.13378E-06,6.46962E-06,1.71003E-06,2.8695E-06,0.008039053,0.017500042,4.10436E-06,7.93971E-06,0.000828636,3.23545E-05,2.07838E-05,1.157136659,0.858454805
飲料,6.99687E-06,7.39556E-06,3.50371E-05,8.1151E-06,5.57296E-06,0.003639667,0,0,6.85348E-06,0.000732511,0.000603635,5.22237E-06,0.000518328,1.006842735,3.89815E-05,0,3.23128E-06,5.28891E-06,6.44614E-06,5.08811E-06,4.42286E-06,4.8573E-06,4.56835E-06,2.40182E-06,3.5516E-06,9.15906E-07,2.0033E-06,2.96554E-06,1.12788E-05,3.90154E-07,6.67769E-06,3.77734E-06,5.70161E-06,8.87085E-06,6.40416E-06,7.05285E-06,5.92939E-06,5.29615E-06,3.17093E-06,1.14227E-06,5.45571E-06,6.65383E-06,2.51193E-06,5.2741E-06,4.33442E-06,4.33515E-06,5.73701E-06,4.2089E-06,5.13254E-06,3.11169E-06,2.99078E-06,4.2851E-06,4.13709E-06,2.73497E-06,3.99552E-06,3.68685E-06,3.31064E-06,1.74536E-06,2.93938E-06,5.01919E-06,2.59695E-06,7.22219E-06,3.28658E-06,8.18688E-06,8.54902E-06,6.78996E-06,6.7474E-06,2.82702E-06,2.22639E-06,5.26965E-06,2.10625E-06,4.2908E-05,2.11998E-05,2.57852E-06,4.04421E-06,6.33328E-06,8.13266E-07,7.75403E-06,4.98988E-06,1.39026E-05,9.93606E-06,2.89914E-05,5.55906E-06,5.94897E-06,0.000133222,1.2575E-06,4.80934E-06,3.64588E-06,3.76703E-06,5.48478E-06,6.12361E-06,8.63526E-06,4.45777E-06,4.7845E-06,0.000160434,6.37205E-06,0.000662143,0.000839405,4.60271E-06,3.96694E-06,3.48677E-06,4.80231E-06,6.14084E-06,0.006666893,0.018028617,3.90538E-06,3.6062E-06,0.000502991,1.02559E-05,0.000330366,1.040269028,0.771753222
飼料・有機質肥料（別掲を除く。）,0.001013929,0.001298725,0.037640811,0.002336668,3.46757E-06,0.002632665,0,0,1.10393E-06,0.010729474,0.000240106,0.000401936,0.000430865,2.20104E-05,1.001244302,0,8.75458E-06,7.34331E-06,1.78349E-06,4.28725E-06,9.13787E-06,2.77684E-06,2.90622E-06,4.9315E-05,2.10284E-05,3.84459E-06,9.19211E-06,1.95792E-05,5.94505E-05,7.97667E-07,1.01628E-06,9.17775E-06,5.00194E-05,5.18995E-06,1.42299E-05,3.29203E-06,1.0092E-05,6.91987E-06,3.5296E-06,2.98434E-06,4.84526E-06,1.16852E-06,7.4276E-06,8.17342E-06,4.69389E-06,3.31678E-06,1.1314E-05,2.96333E-05,2.04782E-05,2.42361E-05,2.55806E-05,2.29848E-05,2.45109E-05,2.73846E-05,1.02678E-05,2.39308E-05,2.80073E-05,1.74122E-05,1.88207E-05,6.54366E-06,2.70096E-06,2.49701E-05,2.35218E-06,1.3378E-06,1.01785E-06,5.67417E-06,2.05302E-06,2.46253E-06,4.54035E-06,6.90813E-07,4.0139E-07,1.56144E-06,9.45522E-06,7.08366E-07,3.98248E-07,3.92326E-07,1.11034E-07,1.98914E-06,8.7173E-07,1.39299E-06,1.45224E-06,1.28536E-06,1.18161E-06,1.85713E-06,1.94153E-06,2.40129E-07,7.50865E-06,4.46414E-06,6.31527E-06,1.25384E-05,3.83771E-06,8.96371E-07,2.91033E-05,0.000441118,8.01882E-06,1.33898E-06,4.53214E-05,3.97701E-05,1.38723E-06,2.90214E-06,2.65519E-06,1.20334E-06,6.54519E-07,0.0001583,0.000322356,5.87998E-07,5.6675E-05,1.89515E-05,1.89552E-06,1.00385E-05,1.05987432,0.786297967
たばこ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.741878496
繊維工業製品,3.58967E-06,1.14853E-06,8.80259E-07,1.47316E-06,1.39396E-05,7.70507E-05,0,0,1.35233E-06,8.90066E-07,6.31305E-06,1.70467E-06,9.69712E-07,1.13248E-06,6.03092E-07,0,1.000298115,0.001553722,3.56219E-06,3.92068E-05,5.32537E-06,4.92101E-06,3.18199E-06,5.63651E-06,7.83941E-07,2.30331E-07,2.81152E-07,8.07919E-07,7.69782E-07,1.40859E-07,5.85274E-07,3.88124E-06,6.9299E-05,0.000268474,2.13837E-05,1.01591E-06,1.2156E-06,4.12428E-06,7.27543E-07,2.69897E-07,1.13157E-06,6.40891E-07,7.66258E-07,7.03117E-06,2.39929E-06,2.59115E-06,1.17577E-06,1.71645E-05,1.08239E-06,1.43441E-05,3.84956E-06,9.23966E-07,1.64175E-05,7.66621E-07,6.85836E-06,2.17801E-06,9.71392E-07,5.90896E-06,3.18303E-06,1.21545E-05,9.53086E-07,1.25224E-05,2.36029E-06,3.46856E-06,1.27271E-05,2.38126E-06,9.68624E-07,9.84474E-07,1.19641E-06,2.54915E-06,1.30968E-06,2.21519E-06,3.08918E-06,1.13643E-06,9.4401E-07,7.84775E-07,7.63549E-07,2.67797E-06,1.01439E-06,1.40308E-06,2.36443E-05,1.53174E-06,5.50879E-06,3.77486E-06,3.15682E-06,1.28558E-06,1.09584E-06,1.66134E-06,2.84806E-06,1.54659E-06,1.79367E-06,1.87366E-06,6.46125E-07,1.5545E-06,1.33222E-06,1.54779E-05,2.13291E-06,1.69692E-06,5.23608E-06,1.87938E-06,1.07496E-06,7.50925E-07,3.50371E-06,5.80785E-06,9.90702E-07,2.18507E-06,1.23567E-05,4.44661E-06,8.49052E-05,1.91106E-06,1.002753307,0.743921115
